file,scene,blur_sigma,total_voxels,signal_voxels,percent_volume
JW-30-10_PEG-0mol_.lif,n1-t3-c,2.0,12582912,5101825,40.545662244160965
JW-30-10_PEG-0mol_.lif,n1-t3-d,2.0,12582912,5274591,41.91868305206299
JW-30-10_PEG-0mol_.lif,n1-t3-40x,2.0,15728640,7543410,47.95970916748047
JW-30-10_PEG-0mol_.lif,n2-t3-a,2.0,12582912,5789446,46.01038297017415
JW-30-10_PEG-0mol_.lif,n2-t3-b,2.0,11534336,4105749,35.59588519009677
JW-30-10_PEG-0mol_.lif,n2-t3-c,2.0,16777216,6436116,38.3622407913208
JW-30-10_PEG-0mol_.lif,n2-t3-40x-a,2.0,19922944,5049711,25.346208873548004
JW-30-10_PEG-0mol_.lif,n2-t3-40x-b,2.0,13631488,1402928,10.291818472055288
JW-30-10_PEG-0mol_.lif,n3-t3-a,2.0,17825792,6829966,38.315077388987824
JW-30-10_PEG-0mol_.lif,n3-t3-b,2.0,4194304,544579,12.98377513885498
JW-30-10_PEG-0mol_.lif,n3-t3-c,2.0,14680064,5809825,39.57629203796387
JW-30-10_PEG-0mol_.lif,n3-t3-40x,2.0,14680064,4760356,32.427351815359934
NJB-III-55 86.3-10P-3.5m-0.2 20x .lif,n1_t0_a,2.0,10485760,5185695,49.454641342163086
NJB-III-55 86.3-10P-3.5m-0.2 20x .lif,n1_t0_b,2.0,7340032,2513794,34.247725350516184
NJB-III-55 86.3-10P-3.5m-0.2 20x .lif,n1_t0_c,2.0,11534336,4414605,38.27359459616921
NJB-III-55 86.3-10P-3.5m-0.2 20x .lif,n2_t0_a,2.0,9437184,4009042,42.48133765326606
NJB-III-55 86.3-10P-3.5m-0.2 20x .lif,n2_t0_b,2.0,8388608,2951766,35.18779277801514
NJB-III-55 86.3-10P-3.5m-0.2 20x .lif,n2_t0_c,2.0,8388608,3332372,39.7249698638916
NJB-III-55 86.3-10P-3.5m-0.2 20x .lif,n3_t0_a,2.0,9437184,4084473,43.28063329060872
NJB-III-55 86.3-10P-3.5m-0.2 20x .lif,n3_t0_b,2.0,8388608,3447735,41.10020399093628
NJB-III-55 86.3-10P-3.5m-0.2 20x .lif,n3_t0_c,2.0,10485760,4208283,40.13331413269043
